date,split,F
196701,train,0.023930727105686653
196702,train,0.018045897984398915
196703,train,-0.0012008086415918593
196704,train,0.0027292215878372502
196705,train,-0.007816440709346352
196706,train,0.000993448361844322
196707,train,0.03007108354226616
196708,train,0.004347810280740958
196709,train,0.010274436222320112
196710,train,0.0027137760155713383
196711,train,0.0032502850609246194
196712,train,0.01017256106829353
196801,train,0.007035604965001489
196802,train,0.00866161136249447
196803,train,0.008208208857484649
196804,train,0.014234355025372703
196805,train,0.009460682525143121
196806,train,0.01640796223457412
196807,train,0.008306025627276826
196808,train,0.017243961569170626
196809,train,0.01364433341035692
196810,train,0.012079290170437374
196811,train,0.0076225535932644035
196812,train,0.0007973737105625263
196901,train,0.004805634177075116
196902,train,0.004269824928842406
196903,train,0.009976590445133441
196904,train,-0.0003299774384644934
196905,train,0.0049137594820808225
196906,train,-0.0028472894686234086
196907,train,0.010653030808143785
196908,train,0.005525317645701377
196909,train,0.0049435668819085505
196910,train,0.008040621704500362
196911,train,0.004740747832272729
196912,train,0.0030751230517459174
197001,train,0.004562007906629176
197002,train,0.012364572006232609
197003,train,0.008656937437680824
197004,train,-0.0026494498129622226
197005,train,-0.0035194415985894552
197006,train,0.007645835054545842
197007,train,0.0199227559307697
197008,train,0.009774439625948927
197009,train,0.0228914186619636
197010,train,0.007960455015603341
197011,train,0.012629702453284354
197012,train,0.03151039857935025
197101,train,0.010134867121923631
197102,train,0.003726308956753527
197103,train,0.013578936824756516
197104,train,0.01358959537578009
197105,train,-0.009193351618667467
197106,train,-0.0011763644716976272
197107,train,0.004656490358542335
197108,train,0.00781566541386216
197109,train,0.0014279628300637285
197110,train,-0.0006026478329142637
197111,train,-0.0038701217324426905
197112,train,0.027503786614637305
197201,train,0.015219134733311953
197202,train,0.0022465993399825948
197203,train,0.009480810954920182
197204,train,0.00757844915780354
197205,train,0.004612299034131346
197206,train,-0.007206512988884072
197207,train,0.00031992993616368937
197208,train,0.0026619699706789805
197209,train,0.006377096064425888
197210,train,0.005782861205219192
197211,train,0.010230274760259176
197212,train,0.00577209580944575
197301,train,0.010467529688283392
197302,train,-0.006998480296621656
197303,train,0.004909668530745238
197304,train,0.006575725242624683
197305,train,0.004748110277235963
197306,train,0.006732605755054243
197307,train,0.01814175223509229
197308,train,0.004553844978172983
197309,train,0.01231585460542199
197310,train,0.016296275204880778
197311,train,-0.004543035431526128
197312,train,0.016557504627690803
197401,train,0.02580447211168531
197402,train,0.005785424719243722
197403,train,0.005331475842610445
197404,train,0.008779517911026234
197405,train,0.002526346553395088
197406,train,0.0072056257188394335
197407,train,0.002766885417194243
197408,train,0.0031443955563003716
197409,train,0.004162391335253741
197410,train,0.020852711095063925
197411,train,0.0015462676430337149
197412,train,0.0027402452378919987
197501,train,0.03690603827652601
197502,train,0.008380440604307916
197503,train,0.0206456589094832
197504,train,0.016369355809534587
197505,train,0.016745940585162798
