date,split,F
196701,train,0.041192533342111266
196702,train,0.0021298695430117206
196703,train,0.023428465101796574
196704,train,0.02017965626278264
196705,train,-0.01136809423984148
196706,train,0.013625935619526821
196707,train,0.03126735035293294
196708,train,0.0029010667073097775
196709,train,0.018663613123342762
196710,train,-0.013265098398929807
196711,train,4.948288801700197e-05
196712,train,0.021215922705267194
196801,train,0.0067960602798458215
196802,train,-0.026796969013246037
196803,train,0.0026481034498090986
196804,train,0.03904885027412495
196805,train,0.02970104489698752
196806,train,0.003204751664530857
196807,train,-0.006575410920566487
196808,train,0.015114416962135611
196809,train,0.019686169270254787
196810,train,-0.0017336730983083853
196811,train,0.016044622027197156
196812,train,0.004217618996593839
196901,train,-0.004648746710511062
196902,train,-0.010620298574131833
196903,train,0.001082803254802985
196904,train,-0.003952470235058154
196905,train,0.0006583248978217025
196906,train,-0.015008117363939186
196907,train,-0.004460256883031713
196908,train,0.006987040242311501
196909,train,0.001667404659421588
196910,train,-0.014597557833998529
196911,train,-0.003576843628965322
196912,train,0.004581601357501283
197001,train,-0.009178444434416011
197002,train,0.0051998126397284645
197003,train,0.0074277501044970875
197004,train,-0.03723009292234577
197005,train,-0.012738203392122626
197006,train,0.0031534434545801918
197007,train,0.024145169652157097
197008,train,0.015347052390372899
197009,train,0.019371916362920086
197010,train,-0.0037891972738699586
197011,train,0.009081121396209618
197012,train,0.031205499502624346
197101,train,0.023023826800303855
197102,train,0.008146297043090897
197103,train,0.015555277004927724
197104,train,0.01153563572343103
197105,train,-0.009083462483150135
197106,train,-0.003503321026389789
197107,train,-0.01129311922981263
197108,train,0.019474364833473375
197109,train,0.005255541429101614
197110,train,-0.01484205873388874
197111,train,-0.011070204920877262
197112,train,0.03124731119074667
197201,train,0.017516536105577643
197202,train,0.016802551911737747
197203,train,0.0022323114353749564
197204,train,0.007847545046242792
197205,train,-0.0062861005098472245
197206,train,-0.0032272659111994765
197207,train,0.0017281620865627185
197208,train,-6.879364636731833e-06
197209,train,-0.006653783367876955
197210,train,0.002223830625524642
197211,train,0.0037186116773788042
197212,train,0.0036244519863940783
197301,train,0.0007248339511787005
197302,train,-0.007848766657106423
197303,train,0.005613057139757772
197304,train,-0.0029186852114439247
197305,train,-0.011414625309630395
197306,train,0.0035452444273282096
197307,train,0.010318758197317729
197308,train,0.004495249355476198
197309,train,0.013236703227148849
197310,train,0.008252801769893953
197311,train,-0.05673880711308307
197312,train,0.005285821108718161
197401,train,0.008784586630015861
197402,train,0.00021173577246607527
197403,train,-0.004289679714904044
197404,train,-0.005777345502982083
197405,train,-0.0038085187013709365
197406,train,-0.0003763240094884488
197407,train,-0.0033273410984317187
197408,train,-0.01430972838936568
197409,train,-0.015126791717985658
197410,train,0.018282827809261947
197411,train,-0.004783716652056257
197412,train,-0.016288839590394528
197501,train,0.015228646623480745
197502,train,0.013922969094172247
197503,train,0.01883251705257027
197504,train,0.014308888143180834
197505,train,0.015225341446382313
197506,train,0.01793398055143833
197507,train,-0.013670464555598706
197508,train,-0.013731745806133467
197509,train,-0.003262791860886776
197510,train,-0.0022949031482727327
197511,train,0.0047107523993402175
197512,train,-0.003218821659411522
197601,train,0.010657243697055549
197602,train,0.004477975512873752
197603,train,0.0030154732758941017
197604,train,-0.006169331785752492
197605,train,-0.0033115855142945745
197606,train,0.012734608369488011
197607,train,-0.0030164040288290783
197608,train,-0.007746030842249903
197609,train,0.004539011196888184
197610,train,-0.010117425372317692
197611,train,0.008206642580919217
197612,train,0.022882012254948257
197701,train,0.000984666628898203
197702,train,-0.0028772413729883746
197703,train,0.001365160244150647
197704,train,0.009030821164959785
197705,train,-0.0035646076527021497
197706,train,0.025378389938107558
197707,train,-0.005782088024479075
197708,train,-0.0010949132242855447
197709,train,0.0025895306583212344
197710,train,-0.007213514414434349
197711,train,0.026655970324127615
197712,train,0.0017270490207675535
197801,train,-0.00618155224242334
197802,train,0.004022632779154382
197803,train,0.025256023882495315
197804,train,0.02531916680512358
197805,train,0.02701875022691052
197806,train,-0.004636287006337676
197807,train,0.02144712990497216
197808,train,0.013601984924242898
197809,train,-0.010175044888426554
197810,train,-0.07261756648952244
197811,train,0.011569674237768758
197812,train,0.004283989145851262
197901,train,0.01930413444557878
197902,train,-0.0151005156601491
197903,train,0.019479646963150625
197904,train,-0.002420149034065594
197905,train,-0.003505669387636895
197906,train,0.01681293686126585
197907,train,0.0014625867885903717
197908,train,0.02349841310952992
197909,train,0.0046880437316926945
197910,train,-0.023009902993897977
197911,train,0.02256259839896992
197912,train,0.015638221536853323
198001,train,0.021287284804195308
198002,train,-0.004624567350462813
198003,train,-0.05357979034650108
198004,train,0.011667247843975246
198005,train,0.022303599088271443
198006,train,0.018499541863541153
198007,train,0.026969406041121538
198008,train,0.01737528106402763
198009,train,0.014976035414708362
198010,train,0.009924945598624849
198011,train,0.011151173845155274
198012,train,-0.014967087900228973
198101,train,-0.010002332005116554
198102,train,0.006020781737572494
198103,train,0.02310458039448914
198104,train,0.002118341067678114
198105,train,0.00834077459322237
198106,train,-0.003174714031368196
198107,train,-0.008891158334357621
