date,split,F
196701,train,0.037123903006447884
196702,train,0.012814198681145354
196703,train,0.025154906620248066
196704,train,0.010972441212482266
196705,train,0.0022686415899791923
196706,train,0.014302320851909713
196707,train,0.022217813085622436
196708,train,0.01220873994506488
196709,train,0.013781886126648588
196710,train,0.0030087712512574137
196711,train,0.0012208123002767392
196712,train,0.019564942429213587
196801,train,0.03075860867437706
196802,train,0.003748928227204563
196803,train,0.0056971861539566035
196804,train,0.021596284558157753
196805,train,0.021852199898194796
196806,train,0.021338478812672933
196807,train,0.01810313849138506
196808,train,0.011789236974780057
196809,train,0.008308380557259272
196810,train,0.014773384607564189
196811,train,0.005150467062571255
196812,train,0.014579528301844998
196901,train,0.008027003503288896
196902,train,0.01599888510700079
196903,train,0.007705126906458756
196904,train,0.004040771465265247
196905,train,0.012128945139668055
196906,train,-0.0038566109128365888
196907,train,0.013227129326657929
196908,train,0.022965145434665043
196909,train,0.010564342564402094
196910,train,0.006107016147193565
196911,train,0.013594124041081188
196912,train,0.007537827710840734
197001,train,0.03162788684866834
197002,train,0.014334733381563271
197003,train,0.016692997317207116
197004,train,0.011387181395433635
197005,train,0.0010507943712240691
197006,train,0.026307969365263924
197007,train,0.029643223105160616
197008,train,0.008903524105631982
197009,train,0.001466686074583648
197010,train,0.029130761698184893
197011,train,0.010447744524070166
197012,train,0.0343468859029589
197101,train,0.018226552783627493
197102,train,0.002737236409508643
197103,train,0.013139096531085375
197104,train,0.012600275754975533
197105,train,-0.0014183980064192492
197106,train,0.010727971269521278
197107,train,0.01045206530452114
197108,train,0.019735412073254133
197109,train,0.014809277958500521
197110,train,0.003865466029388334
197111,train,0.0040299332908733665
197112,train,0.02113838090901632
197201,train,0.01749728750501072
197202,train,0.010137793394305674
197203,train,0.017399282385022
197204,train,0.006702779905958167
197205,train,0.006105826368494868
197206,train,0.007402917857116246
197207,train,0.01270335275498813
197208,train,0.010069960522931264
197209,train,0.008895077680283433
197210,train,0.01303345802493705
197211,train,0.007820672031248022
197212,train,0.02393805217684182
197301,train,0.023693370309110538
197302,train,0.0008011463039962667
197303,train,0.014909769697080771
197304,train,0.020995968334198437
197305,train,0.017628685027525372
197306,train,0.01813947446115211
197307,train,0.007117030557300761
197308,train,0.015852621200025185
197309,train,0.010365427607447325
197310,train,0.023958286676200778
197311,train,0.009461511822394571
197312,train,0.029248886922163275
197401,train,0.022105001910825484
197402,train,0.010635811040469307
197403,train,0.014749013511682167
197404,train,0.013589019462792621
