date,split,F
196701,train,0.03491119113497484
196702,train,0.01171517153577148
196703,train,0.021448327141496578
196704,train,0.008172208677952255
196705,train,0.0016099637123935197
196706,train,0.013623007225669967
196707,train,0.03874839489460365
196708,train,0.012626121110019803
196709,train,0.021888967817967106
196710,train,-0.003411033837157637
196711,train,0.0013337921871069032
196712,train,0.031009571688395087
196801,train,0.031016656719469446
196802,train,-0.0012450326062655697
196803,train,0.004174009870338288
196804,train,0.056322691488144457
196805,train,0.03548669109197632
196806,train,0.02420214541004093
196807,train,0.026997611021600594
196808,train,0.014118725566987225
196809,train,0.01812250703574263
196810,train,0.01600486785368538
196811,train,0.004981248641170793
196812,train,0.015975676082757177
196901,train,0.008972102498958452
196902,train,0.026107948696990558
196903,train,0.010686795830012098
196904,train,0.0027159686396320006
196905,train,0.014423733250876534
196906,train,0.037137262806421795
196907,train,0.046316559174519385
196908,train,0.01224320781753207
196909,train,0.013213369414443035
196910,train,-0.006590317423398465
196911,train,0.024144411919462715
196912,train,0.02435384436584611
197001,train,0.034224462707802085
197002,train,0.009158559301180567
197003,train,0.020793837048688722
197004,train,0.03493667745875252
197005,train,0.019341348395296377
197006,train,0.03286341024668778
197007,train,0.03845231077269538
197008,train,0.016589462932229827
197009,train,0.02310143617427737
197010,train,0.02802696838849244
197011,train,0.017177230807222263
197012,train,0.043885550170788615
197101,train,0.037976115539066505
197102,train,0.01152602039420431
197103,train,0.02320954755043422
197104,train,0.01782237013647576
197105,train,-0.0012668596764280086
197106,train,0.014876341466437449
197107,train,0.02385091547329633
197108,train,0.024074101818404692
197109,train,0.01482531364264672
197110,train,0.010505476414387278
197111,train,0.007169942169295358
197112,train,0.030504643914218702
197201,train,0.029994989921626136
197202,train,0.013796654521574896
197203,train,0.0197367116491112
197204,train,0.010590034059011905
197205,train,0.009270527088499637
197206,train,0.009653739857978913
197207,train,0.016653207758820565
197208,train,0.01040493255005917
197209,train,0.01171898652296631
197210,train,0.01734174093521756
197211,train,0.012403622956006142
197212,train,0.028282332688302988
197301,train,0.030264623231901742
197302,train,0.014663761421895844
197303,train,0.02185546686046464
197304,train,0.03450591915617227
197305,train,0.02757886883878802
197306,train,0.02578931516310432
197307,train,0.028401646549998376
197308,train,0.020124988015780887
197309,train,0.026731225552521304
197310,train,0.027636108307504202
197311,train,0.02692537527966144
197312,train,0.03227738113941069
197401,train,0.028000145290961995
197402,train,0.013192613739863438
197403,train,0.014140399105819462
197404,train,0.02418546599002797
197405,train,0.021827996120195037
197406,train,0.022203740216715014
197407,train,0.023919049818016087
197408,train,0.026920552623760516
197409,train,0.028007217417772047
197410,train,0.029475683095318596
197411,train,0.01674703228858094
197412,train,0.0156886354447389
197501,train,0.02738497825651209
197502,train,0.0184988160320206
197503,train,0.023563994446611992
197504,train,0.02552852380595489
197505,train,0.028034482034933368
197506,train,0.025302579968570993
197507,train,0.01609347747315556
197508,train,0.01576165267982583
197509,train,0.01872863886551722
197510,train,0.012066231632675638
197511,train,0.005985252342910462
197512,train,0.011371488522841913
197601,train,0.026439930536878518
197602,train,0.02277315361330573
197603,train,0.01687588115388191
197604,train,0.006766518839254518
197605,train,-0.0017389510051651095
197606,train,0.007543870450375701
197607,train,0.015827996359540242
197608,train,0.002867421622093561
197609,train,0.007773837164829302
197610,train,0.008758912963992862
197611,train,0.015680548904037153
197612,train,0.03609670502629807
197701,train,0.03193712247649999
197702,train,0.01618559930035926
197703,train,0.008308080639477248
197704,train,0.015950994859312884
197705,train,0.014035792489903252
197706,train,0.015768967531800106
197707,train,0.007069985930049712
197708,train,7.080949914084738e-05
197709,train,0.01174762182087616
197710,train,0.011241055497903057
197711,train,0.02568500285053086
197712,train,0.01309109015654617
197801,train,0.016416091543907444
197802,train,0.016062007039333994
197803,train,0.019806328762070224
197804,train,0.027294804118473813
197805,train,0.027210242363719727
197806,train,0.011476192044682504
197807,train,0.01941948924819987
197808,train,0.019680764684736774
197809,train,0.010827097545585194
197810,train,0.025394866857009632
197811,train,0.03355260937056546
197812,train,0.014647838317502014
197901,train,0.027808338731635303
197902,train,0.0036532489502032234
197903,train,0.019525117993432668
197904,train,0.018567304642953177
197905,train,0.00405474407574187
197906,train,0.010028672061510882
197907,train,0.01225167030393965
197908,train,0.017095671438279218
197909,train,0.010362635683111639
197910,train,0.01991567411394144
197911,train,0.01848562829711775
197912,train,0.012818822413092089
198001,train,0.02324540116307534
198002,train,0.009907724554877347
198003,train,0.02977714181714096
198004,train,0.02952163987315811
198005,train,0.027060542527759936
198006,train,0.02462623952016752
198007,train,0.040734807291940414
198008,train,0.030440787134391984
198009,train,0.01938984189801341
198010,train,0.01728635237089253
198011,train,0.015149488676379965
198012,train,0.013476910880190394
198101,train,0.011084158937425134
198102,train,0.008316116754393471
198103,train,0.021081551888363248
198104,train,0.015111995054472855
198105,train,0.001345634412472012
198106,train,0.01684612339368228
198107,train,0.00915209366439214
198108,train,0.02396147729342891
198109,train,0.031995330123455616
198110,train,0.02269875980772281
198111,train,0.018183705108731765
198112,train,0.012991663931003008
198201,train,0.018192023327903505
198202,train,0.01691778764450151
198203,train,0.01300189027252734
198204,train,0.017827821081920367
