date,split,F
196701,train,0.020879037495268545
196702,train,0.005806597552675683
196703,train,0.013946332004125463
196704,train,0.003520070653188559
196705,train,0.006206424283471526
196706,train,0.010879347728283018
196707,train,0.023975737934558677
196708,train,0.012755691830083163
196709,train,0.020310075653576325
196710,train,-0.004186166892957743
196711,train,9.295649056548423e-05
196712,train,0.020258470216742056
196801,train,0.03336299704816527
196802,train,0.0016059196539671718
196803,train,0.0028972232802443403
196804,train,0.030187918599592824
196805,train,0.015928706650807867
196806,train,0.024258774451753944
196807,train,0.026395794747305728
196808,train,0.01517425011701165
196809,train,0.016073779591518775
196810,train,0.017395971832493227
196811,train,0.008912735075119747
196812,train,0.013320107345348406
196901,train,0.0033269582732897243
196902,train,0.014540099129820737
196903,train,0.012790415734316284
196904,train,0.00029685301823362194
196905,train,0.010854611035084666
196906,train,0.00483084493939028
196907,train,0.007118951941762044
196908,train,0.017001460159217628
196909,train,0.008821114192586594
196910,train,-0.0070196069091349
196911,train,0.016012499142934504
196912,train,0.010777019406735833
197001,train,0.019000917188518943
197002,train,0.01173106879316176
197003,train,0.021861326869224203
197004,train,0.010132526760848382
197005,train,-0.0027917616220521115
197006,train,0.03492570324706797
197007,train,0.03333546993531593
197008,train,0.003068059647985929
197009,train,-0.023479689210030456
197010,train,0.03918103435232761
197011,train,0.021273840537898922
197012,train,0.03351416033304734
197101,train,-0.002070424313282086
197102,train,-0.003943910044997613
197103,train,0.0036852221594989806
197104,train,0.011817439215794487
197105,train,0.002745984098455989
197106,train,0.014741450337074814
197107,train,0.017577365026124697
197108,train,0.02798042385902774
197109,train,0.013439546372913254
197110,train,0.0030491137680233988
197111,train,0.003271595744703134
197112,train,0.02356653571339615
197201,train,-0.0016381453647003243
197202,train,0.003178432651899552
197203,train,0.017705763747508273
197204,train,0.008906724904493353
197205,train,0.005374720663998622
197206,train,0.004938889544716744
197207,train,0.012705198898867164
197208,train,0.015612290163663636
197209,train,0.007240359252199574
197210,train,0.015559731517318747
197211,train,0.021137192279563365
197212,train,0.02676993504316425
197301,train,0.01671894422164927
197302,train,0.003758160467155755
197303,train,0.01286375431964662
197304,train,0.027511429736339056
197305,train,0.011575060480997598
197306,train,0.014424551520955668
197307,train,0.006458878845923751
197308,train,0.02034964145373746
197309,train,0.011559070411199404
197310,train,0.026041214359972656
197311,train,0.012296288662310565
197312,train,0.03496303277710086
197401,train,0.022259399011420287
197402,train,0.014368493008499551
197403,train,0.009457382144242727
197404,train,0.011833064045363585
197405,train,0.0070221809086438505
197406,train,0.02030084387848927
197407,train,0.018720578401707655
197408,train,0.020894399330409243
197409,train,0.021031288757889913
197410,train,0.04328586734791552
197411,train,0.0118469619336839
197412,train,0.007858605145608863
197501,train,0.033895898369721934
197502,train,0.007623122760043329
197503,train,0.0038843029346829717
197504,train,0.023779461739714486
197505,train,0.015488386950546863
197506,train,0.012862592522291794
197507,train,0.015720660265662132
197508,train,0.011138474679483274
197509,train,0.018992444745864433
197510,train,0.014314802297965612
197511,train,0.004077964583188282
197512,train,0.008568908098104731
197601,train,0.042773547679859594
197602,train,-0.004376502641121892
197603,train,0.011187056074796321
197604,train,0.009558035649222502
197605,train,0.0017312188449729211
197606,train,0.006478452735599286
197607,train,0.013381077422783591
197608,train,0.002377619565039681
197609,train,0.009561349985690063
197610,train,0.008180472005412666
197611,train,0.018704107676197138
197612,train,0.031778568734059806
197701,train,0.02568147718482619
197702,train,0.015223255738962068
197703,train,0.0075943169130378825
197704,train,0.018343173965173414
197705,train,0.009976587589513274
197706,train,0.015162048219586409
197707,train,0.0020615374401165795
197708,train,-0.007660378590452471
197709,train,0.009888952535372982
197710,train,0.009403241092054584
197711,train,0.03087638110445739
197712,train,0.012526658511348878
197801,train,0.004298049723503526
197802,train,0.014847139274428035
197803,train,0.008092422302829253
197804,train,0.018336328707032768
197805,train,0.020350560346380456
197806,train,0.00808637930617595
197807,train,0.016440231818647955
