model,seeds,SR train,SR valid,SR test (monthly),SR test (annual),EV test,XS-R2 test,turnover,net SR (worst cost),max DD
gan,9,2.026971896627221,1.34479551607656,0.634261223976483,2.1971453303961836,0.050041491705902996,0.027084355920003356,1.0694271386983696,0.8071625781964935,0.0748913989825497
unc,9,1.500714983786982,0.8786418417454243,0.447569827566217,1.5504273625590586,0.053710823934147944,0.03652109336333731,0.8378859209143777,0.6514952392159311,0.17207775502452716
gan_nomacro,9,1.8663003461574397,1.2746023822632708,0.6601922828575408,2.2869731533482884,0.06043291261605421,0.03213896040128772,1.024157298413342,0.7243269353045907,0.08145466987465033
gan_allmacro_raw,4,1.617278354524338,0.034129590829642655,0.13479835752377795,0.46695520801603563,0.10461896554347683,0.0618996651789635,0.8624740230124714,0.15248860139123285,0.9907519932501611
ext_turnover,9,0.6262582717372678,0.13215508960224484,0.09286310905700092,0.3216872460710703,0.027599942812643996,-0.0010151897472296945,0.06163067929820074,0.2433118607872131,0.32597486074852056
ext_positive,9,0.5263822860337228,0.24310485482292293,0.3425740581471816,1.186711348131947,0.10771059187617849,0.061101960788632614,0.6549798021945615,0.5812486499756185,0.38005817667091346
