date,split,F
196701,train,0.1251203790080412
196702,train,0.012860542173695953
196703,train,0.051751617988766915
196704,train,0.039527292248570114
196705,train,0.024686686614021312
196706,train,0.04706110595986715
196707,train,0.07618628806243048
196708,train,0.0051752904354776695
196709,train,0.048618201985735604
196710,train,0.03896895223102127
196711,train,0.0015397026700965039
196712,train,0.06031716776557829
196801,train,0.030211161071265025
196802,train,0.05096412585883243
196803,train,-0.0043130332367114135
196804,train,0.06780000030488624
196805,train,0.057134944282373035
196806,train,0.015148823111364668
196807,train,0.055240881627887886
196808,train,0.03779719804308134
196809,train,0.04475904518109441
196810,train,0.015255038696189879
196811,train,0.04403044849308925
196812,train,0.014917367418695912
196901,train,0.020154517350956094
196902,train,0.04888388767742501
196903,train,0.025274776739122422
196904,train,0.0049222165856946205
196905,train,0.013378163702955496
196906,train,0.0487244383617795
196907,train,0.09381802676484326
196908,train,0.046059389224053796
196909,train,0.028476593492954335
196910,train,0.046904150365293565
196911,train,0.045162699179544956
196912,train,0.07529425400425158
197001,train,0.03916987593632868
197002,train,0.035000134737909555
197003,train,0.035846820646976356
197004,train,0.0938114302776566
197005,train,0.08400184176516909
197006,train,0.09684711476076754
197007,train,0.05681358404306706
197008,train,0.039775763202295804
197009,train,0.06375647732758646
197010,train,0.04984533929456052
197011,train,0.019215663911656716
197012,train,0.05724571636074888
197101,train,0.07657288825978212
197102,train,0.027605333047945508
197103,train,0.03875421387067887
197104,train,0.02907717717684697
197105,train,0.04156954119618778
197106,train,0.03402295594235263
197107,train,0.03992224470101507
197108,train,0.043462574251143624
197109,train,0.024258297946274064
197110,train,0.04826972483222934
197111,train,0.034166830926922506
197112,train,0.05097649609021395
197201,train,0.06092813281517169
197202,train,0.029887151812974418
197203,train,0.017842825740502243
197204,train,0.016250798515918694
197205,train,0.024108795711836554
197206,train,0.03575066925703154
197207,train,0.03316421468766674
197208,train,0.019138401899123764
197209,train,0.031161333442049185
197210,train,0.029101521890939196
197211,train,0.03801615009900283
197212,train,0.036434386149513234
197301,train,0.04768746069432547
197302,train,0.03764395789220677
197303,train,0.03184648146893227
197304,train,0.06170837600236733
197305,train,0.043271789659113144
197306,train,0.03118700229237588
197307,train,0.05984198713547069
197308,train,0.03581708431562384
197309,train,0.06293801896223421
197310,train,0.029787194064149182
197311,train,0.06781257549287428
197312,train,0.0518069882915758
197401,train,0.09288254612890429
197402,train,0.013941584242427436
197403,train,0.008218144762007175
197404,train,0.05100755206092739
197405,train,0.04771278058206006
197406,train,0.035884186960288104
197407,train,0.06674276855938455
