date,split,F
196701,train,0.0225876507224855
196702,train,-0.0054462903846419905
196703,train,7.498243033622501e-05
196704,train,0.003925165444441765
196705,train,0.011034795371447255
196706,train,0.010090265563854409
196707,train,0.017303872455947007
196708,train,0.0014047367907049503
196709,train,0.012734373413472928
196710,train,-0.0007900468013954022
196711,train,-0.009720586832344561
196712,train,0.0067776772304613585
196801,train,0.024066242048760855
196802,train,0.003291430958285573
196803,train,-0.00044153661688171343
196804,train,0.002298492797414002
196805,train,0.01725635352612465
196806,train,0.009481054734025713
196807,train,0.0061318325577216825
196808,train,0.004365214341689829
196809,train,0.0005253358329520701
196810,train,0.0016543401944298687
196811,train,-0.0006072535119897298
196812,train,0.012054428548385386
196901,train,-0.0009460897177723661
196902,train,-0.0020973309853569064
196903,train,-0.00423471824932732
196904,train,-0.011385139237610161
196905,train,-0.0044624543328406485
196906,train,0.004035354387604929
196907,train,0.009892459748928502
196908,train,-0.01083449843033045
196909,train,-0.00018735499873529058
196910,train,-0.015583317241976563
196911,train,-0.002922528087022811
196912,train,-0.004583880568309728
197001,train,0.014797229365931464
197002,train,-0.0008711889026841602
197003,train,0.011907805151672684
197004,train,0.012597455122177595
197005,train,0.004312834031618212
197006,train,0.00768698457719861
197007,train,0.007047326004104138
197008,train,0.0076773655766692525
197009,train,-0.001459407674894704
197010,train,-0.0002071770853894212
197011,train,0.005031188481265628
197012,train,0.017883858639486664
197101,train,0.021545523382786824
197102,train,-0.00032469533697662185
197103,train,-0.0013283078347074832
197104,train,-0.00048533838097540756
197105,train,-0.005377561869735881
197106,train,-0.0032654505078011297
197107,train,0.007810522865238436
197108,train,0.007824518029838242
197109,train,0.004191797144487377
197110,train,-0.004768295594596358
197111,train,-0.009305201407031642
197112,train,0.003989541643428275
197201,train,-0.00015989736268637094
197202,train,-0.0041489854565320535
197203,train,0.00025229029910585967
197204,train,-0.003254477015404946
197205,train,-0.005680947781763456
197206,train,0.002011943102351316
197207,train,0.004678724698384946
197208,train,-0.001035050907054567
197209,train,0.00036254761332115304
197210,train,-0.0036810405214406593
197211,train,0.009692399468409869
197212,train,0.005632425029226503
197301,train,0.009462754587862198
197302,train,0.010884978740198677
197303,train,0.009396905567426174
197304,train,0.011791303139913757
197305,train,0.004012673028956351
197306,train,-0.0013129336976502929
197307,train,0.00483147689315194
197308,train,0.0010646054053821989
197309,train,-0.004247814707145965
197310,train,0.004588436396293403
197311,train,0.01695595573961275
197312,train,0.00480677295136021
197401,train,0.013550964822929336
197402,train,0.01312844777157759
197403,train,0.012642753649773724
197404,train,0.011669276530448547
197405,train,0.0010936214461279817
197406,train,0.010932924899104529
197407,train,0.01746859081384352
197408,train,0.006664821940416357
197409,train,0.012158279417874951
197410,train,-0.0040327337617601525
197411,train,-0.00612725570837605
197412,train,-0.005473369941543436
197501,train,0.0162565451438323
197502,train,-0.012944321158333954
197503,train,0.006587050918815244
197504,train,0.0018144726915794757
197505,train,-0.00042458505650192716
197506,train,0.01113370018398493
197507,train,0.01675831441950896
197508,train,-0.0005039671166197645
197509,train,0.006639925459349575
197510,train,-0.003024193787730215
197511,train,0.001544891835234302
197512,train,0.006740215401285178
197601,train,0.015738409792214116
197602,train,0.0094732236196222
197603,train,-0.004905890396455462
197604,train,0.006362540392341358
197605,train,0.004102299571294447
197606,train,-0.0004893373725425379
197607,train,-0.00257455140562332
197608,train,-0.004520061468638599
197609,train,-0.002382998379137585
197610,train,0.003464341973372939
197611,train,0.0072557391401582615
197612,train,0.01655633875262395
197701,train,0.007567558805760401
197702,train,0.008038609334182295
197703,train,0.0007998748802404787
197704,train,0.008395534466988382
197705,train,7.957268962016824e-05
197706,train,0.004633678689345393
197707,train,-0.0016376685024745439
197708,train,-0.0047422904049989525
197709,train,0.002625742185721017
197710,train,-0.0024894712774788056
197711,train,0.004715504978056572
197712,train,-0.0008078201382706562
197801,train,-0.0006947234360791942
197802,train,0.007309582027156213
197803,train,0.0054538221245869845
197804,train,-0.001969107836846455
197805,train,0.0009826304623753075
197806,train,0.0030001235934743044
197807,train,-0.007946326846884804
197808,train,-0.0017748249588155514
197809,train,0.00250878888906689
197810,train,0.013081136539584278
197811,train,-0.0023032715557525963
197812,train,-0.0035173755299939616
197901,train,0.005672664228879455
197902,train,0.005028501976134755
197903,train,0.005378785622736398
197904,train,0.007830405482506065
197905,train,-0.003435573328084066
197906,train,0.008560031541165166
197907,train,0.0048705348237929845
197908,train,-0.004364904230911578
197909,train,0.0007091172538192317
197910,train,-0.0023165445993517976
197911,train,-0.012055341668564123
197912,train,-0.0005321374312837111
198001,train,0.006143397145765499
198002,train,0.001902997744897138
198003,train,0.013418398065943889
198004,train,-0.0018756677237621506
198005,train,-0.0006526970061152893
198006,train,0.004880725648949952
198007,train,0.005729957978624577
198008,train,0.011757846359545956
198009,train,0.0006556322902418046
198010,train,0.008646161685690637
198011,train,-0.009470000472666083
198012,train,-0.011614008294165338
198101,train,0.01565445601058904
198102,train,0.009665648494541233
198103,train,-0.00011256775158467822
198104,train,0.00010055002726876302
198105,train,0.0020323117792102824
198106,train,0.018166247801842783
198107,train,-2.0102494062124903e-05
198108,train,0.00986369493517362
198109,train,0.0050212676262783845
198110,train,0.004221925633483909
198111,train,0.00834086070829829
198112,train,-0.0014498819595852469
198201,train,-0.00277259058760138
198202,train,0.006144627835076829
198203,train,0.002651201054892191
198204,train,0.0046767198008230695
198205,train,0.002083237917620601
198206,train,0.01413605764233107
198207,train,0.009414866891720091
198208,train,0.005052400074043361
198209,train,0.01220391785831815
198210,train,0.01452086854769763
198211,train,0.013497785070102781
198212,train,0.0019527561169485654
198301,train,0.0047293362508441066
198302,train,0.01433696752684345
198303,train,0.014920184075078023
198304,train,0.008587433613371399
198305,train,0.005283927502307856
198306,train,0.0038886878107397297
198307,train,0.010953515428868854
198308,train,0.00034579473063670713
198309,train,0.008792652347019708
198310,train,0.011360715827631686
198311,train,0.0035147923673006887
198312,train,0.006775862333510418
198401,train,0.008122157590199464
198402,train,0.0027902351167043973
198403,train,-0.0017005895040434669
198404,train,0.006176306517580633
198405,train,0.0042285503871375635
198406,train,0.001833482684135685
198407,train,0.007020410810749121
198408,train,0.0054175989724049994
198409,train,0.008143658682401996
198410,train,0.009093516382743508
198411,train,0.006170906025993524
198412,train,0.0029506224510045644
198501,train,0.009755362555922634
198502,train,0.001386670872897761
198503,train,0.006824531029979469
198504,train,0.006963811266128551
198505,train,0.007970727603808845
198506,train,0.00940582545505305
198507,train,0.004709146785312835
198508,train,0.005367023393587247
198509,train,0.007285032739351157
198510,train,0.006510230670877295
198511,train,0.008075512336598388
198512,train,0.006726538542846558
198601,train,0.0035524396095665874
198602,train,0.012466362710039335
198603,train,0.014168670943628205
198604,train,-0.0003242061097232219
198605,train,0.00585043882442809
198606,train,0.006297126398870176
198607,train,0.007205353683611995
198608,train,0.0049526000965849715
198609,train,0.005926522080398353
198610,train,0.0023801803145452483
198611,train,0.00522198523297307
